phone,price,sub_title,km,marque,location,capacite,annee,link_car,modele
516,23 500,BEX 1.8T 220KM KSENON !! DUŻA MOC!SUPER stan!!GWAR Przeb i Bezwyp!!,23 500 km,Audi,"Brodnica, brodnicki, Kujawsko-pomorskie",1 800 cm3,2004,https://www.otomoto.pl/oferta/audi-a4-bex-1-8t-220km-ksenon-duza-moc-super-stan-gwar-przeb-i-bezwyp-ID6BA1qy.html#4b96ca4051,A4
795,65 800,HIGHLINE 4X4 nawi SKÓRA alusy SAM PARKUJE auto hold automat DSG 7 F1,131 269 km,Volkswagen,"OTMUCHÓW - 48-385 Otmuchów, nyski, Opolskie (Polska)",2 000 cm3,2015,https://www.otomoto.pl/oferta/volkswagen-tiguan-highline-4x4-nawi-skora-alusy-sam-parkuje-auto-hold-automat-dsg-7-f1-ID6BxFtC.html#4b96ca4051,Tiguan
225,549 900,BMW 750d xDrive I Bowers&Wilkins I M-Pakiet |,11 204 km,BMW,"al.Prymasa Tysiąclecia 64 - 01-424 Warszawa, Wola (Polska)",3 000 cm3,2018,https://www.otomoto.pl/oferta/bmw-seria-7-bmw-750d-xdrive-i-bowers-wilkins-i-m-pakiet-ID6By4th.html#4b96ca4051,Seria 7
600,58 000,Mokka 1.4 TURBO COSMO z salonu PL kpl. letnich opon z felgami,43 815 km,Opel,"Suchy Las, poznański, Wielkopolskie",1 364 cm3,2014,https://www.otomoto.pl/oferta/opel-mokka-mokka-1-4-turbo-cosmo-z-salonu-pl-kpl-letnich-opon-z-felgami-ID6Bzfmv.html#4b96ca4051,Mokka
177,76 299,2.0 TDI Multitronic!Polski Salon! Przebiegu!Gwarancja Serwisu!#WD9697G,113 368 km,Audi,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",2 000 cm3,2014,https://www.otomoto.pl/oferta/audi-a4-2-0-tdi-multitronic-polski-salon-przebiegu-gwarancja-serwisu-wd9697g-ID6BsgBa.html#4b96ca4051,A4
799,91 900,Variant FL 1.4 TSI 125KM DSG Comfortline DEMO Wyprzedaż Rocznika w ASO,5 000 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 395 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-variant-fl-1-4-tsi-125km-dsg-comfortline-demo-wyprzedaz-rocznika-w-aso-ID6ABPnM.html#4b96ca4051,Golf
177,36 160,1.6 D Active!Polski Salon!Gw Przebiegu!Gwarancja Serwisu!#WD0493F,123 884 km,Škoda,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",1 600 cm3,2014,https://www.otomoto.pl/oferta/skoda-octavia-1-6-d-active-polski-salon-gw-przebiegu-gwarancja-serwisu-wd0493f-ID6z6s2X.html#4b96ca4051,Octavia
177,68 999,1.7 CRDI BlueDrive Comfort! Polski Salon!Gwarancja Serwisu!#ZS314EW,39 900 km,Hyundai,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",1 700 cm3,2015,https://www.otomoto.pl/oferta/hyundai-tucson-1-7-crdi-bluedrive-comfort-polski-salon-gwarancja-serwisu-zs314ew-ID6BsgwV.html#4b96ca4051,Tucson
225,189 890,Executive 2.0 280KM | Rata od 1399 PLN |Niebieski BLUE MISANO,2 km,Alfa Romeo,"Połczyńska 33 - 01-377 Warszawa, Bemowo (Polska)",2 000 cm3,2018,https://www.otomoto.pl/oferta/alfa-romeo-stelvio-executive-2-0-280km-rata-od-1399-pln-niebieski-blue-misano-ID6By4qw.html#4b96ca4051,Stelvio
177,25 999,Spb. 1.6 TDI Ambition ! Polski Salon!Gwarancja Przebiegu!F vat!PO1F487,180 281 km,Škoda,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",1 600 cm3,2014,https://www.otomoto.pl/oferta/skoda-rapid-spb-1-6-tdi-ambition-polski-salon-gwarancja-przebiegu-f-vat-po1f487-ID6AcXFJ.html#4b96ca4051,RAPID
691,20 000,S LINE TDI 140KM 2007r. # oferta prywatna,198 000 km,Audi,"Gostynin, gostyniński, Mazowieckie",1 968 cm3,2007,https://www.otomoto.pl/oferta/audi-a3-s-line-tdi-140km-2007r-oferta-prywatna-ID6Bp1e6.html#4b96ca4051,A3
799,75 900,1.4 2WD Premium od ręki,7 km,Suzuki,"Szosa Gdańska 28 - 86-031 Osielsko, bydgoski, Kujawsko-pomorskie (Polska)",1 400 cm3,2018,https://www.otomoto.pl/oferta/suzuki-vitara-1-4-2wd-premium-od-reki-ID6Bypjl.html#4b96ca4051,Vitara
