link_car,sub_title,location
https://www.otomoto.pl/oferta/kia-optima-gt-line-1-6t-180km-automatyczna-skrzynia-panorama-ID6BzmON.html#4b96ca4051,"Gt Line 1.6T 180KM Automatyczna skrzynia, Panorama","Ks. Jerzego Popiełuszki 2 - 87-100 Toruń, Kujawsko-pomorskie (Polska)"
https://www.otomoto.pl/oferta/nissan-x-trail-n-connecta-pakiet-premium-2wd-xtronic-2-0d-177-km-2017-od-reki-ID6zSYiG.html#4b96ca4051,N connecta + Pakiet Premium 2WD Xtronic 2.0D 177 KM 2017 OD RĘKI !!!,"Stawowa, 2 - 41-214 Sosnowiec, Śląskie (Polska)"
https://www.otomoto.pl/oferta/suzuki-swift-100-bezwypadek-4x4-klimatyzacja-serwisowany-skorzana-kiera-ID6ByYew.html#4b96ca4051,100% Bezwypadek / 4x4 / Klimatyzacja / Serwisowany / Skórzana Kiera,"Armii Krajowej 127 - 42-480 Poręba, zawierciański, Śląskie (Polska)"
https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-c200-4matic-pakiet-amg-demonstracyjny-ID6Bs2PG.html#4b96ca4051,C200 4MATIC Pakiet AMG !!Demonstracyjny!!,"Karpacka 90 - 43-316 Bielsko-Biała, Śląskie (Polska)"
https://www.otomoto.pl/oferta/seat-leon-st-full-led-1-4-tsi-125km-gwarancja-5-lat-ID6ByzCa.html#4b96ca4051,ST Full LED 1.4 TSI 125KM Gwarancja 5 lat,"ul. Portowa 2 - 44-100 Gliwice, Śląskie (Polska)"
https://www.otomoto.pl/oferta/renault-espace-doinwestowany-pewne-auto-pakiet-korzysci-swiateczne-rabaty-ID6BuGtM.html#4b96ca4051,Doinwestowany Pewne Auto Pakiet Korzyści Świąteczne Rabaty,"Margonińska 3A - 64-800 Rataje, chodzieski, Wielkopolskie (Polska)"
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-f31-luxury-edition-oferta-prywatna-ID6Bzi4Y.html#4b96ca4051,BMW F31 luxury edition oferta prywatna,"Radom, Mazowieckie"
https://www.otomoto.pl/oferta/volkswagen-golf-variant-highline-2-0-tdi-150-km-dsg-salon-pl-23-vat-ID6z0j9d.html#4b96ca4051,Variant Highline 2.0 TDI 150 KM DSG Salon PL 23% VAT,"BORUJA KOŚCIELNA ,ul.Wolsztyńska 29 - 64-300 Nowy Tomyśl, nowotomyski, Wielkopolskie (Polska)"
https://www.otomoto.pl/oferta/hyundai-tucson-1-6-crdi-136-km-7dct-2wd-style-felga-19-opcje-okazja-rabat-ID6BzmGB.html#4b96ca4051,"1.6 CRDi 136 KM 7DCT 2WD 'Style' + Felga 19"" + Opcje| Okazja! RABAT!","Aleje Jerozolimskie - 00-001 Warszawa, Śródmieście (Polska)"
https://www.otomoto.pl/oferta/ford-mondeo-titanium-kombi-2-0tdci-150km-automat-bogata-opcja-od-reki-ID6BzmGv.html#4b96ca4051,"TITANIUM Kombi 2,0TDCI 150KM AUTOMAT ! Bogata opcja, od ręki !","Generała Grota Roweckiego 129a - 41-214 Sosnowiec, Śląskie (Polska)"
https://www.otomoto.pl/oferta/hyundai-tucson-1-6-crdi-136-km-7dct-2wd-style-felga-19-opcje-okazja-rabat-ID6BzmHd.html#4b96ca4051,"1.6 CRDi 136 KM 7DCT 2WD 'Style' + Felga 19"" + Opcje| Okazja! RABAT!","Aleje Jerozolimskie - 00-001 Warszawa, Śródmieście (Polska)"
https://www.otomoto.pl/oferta/volkswagen-up-beats-up-1-0-55-kw-75-km-manualna-5-biegowa-plichta-gdynia-ID6Brg30.html#4b96ca4051,"beats up! 1.0 55 kW / 75 KM manualna, 5 biegowa Plichta Gdynia","LUBOWIDZKA 42 - 80-174 Gdańsk, Jasień (Polska)"
https://www.otomoto.pl/oferta/volvo-v50-volvo-v50-momentum-2-0d136km-ID6AFF8b.html#4b96ca4051,"Volvo v50 ,Momentum,2.0D(136km)..","Złotniki, krakowski, Małopolskie"
https://www.otomoto.pl/oferta/fiat-grande-punto-1-4-8v-77km-klimatyzacja-1-wlasciciel-serwis-aso-bezwypadkowy-ID6Bz2X4.html#4b96ca4051,"1.4 8v 77KM Klimatyzacja , 1 właściciel ,Serwis ASO, Bezwypadkowy !!!","Konstancin-Jeziorna, piaseczyński, Mazowieckie"
https://www.otomoto.pl/oferta/volkswagen-amarok-vlkswagen-amarok-2-0-tdi-180km-automat-ID6ByzrC.html#4b96ca4051,"Vlkswagen Amarok 2,0 TDI 180KM, automat .","Piła, pilski, Wielkopolskie"
https://www.otomoto.pl/oferta/porsche-911-gt3-2017-salon-pl-fak-vat-23-porsche-centrum-warszawa-ID6BzmGi.html#4b96ca4051,GT3 2017 Salon PL Fak VAT 23% Porsche Centrum Warszawa,"Połczyńska 107 - 01-303 Warszawa, Bemowo (Polska)"
https://www.otomoto.pl/oferta/mercedes-benz-glc-pakiet-amg-salon-polska-f-vat-ID6Bzm0g.html#4b96ca4051,"Pakiet AMG, Salon Polska, F VAT.","Kalisz, Wielkopolskie"
https://www.otomoto.pl/oferta/opel-antara-2-0-cdti-bezwypadkowy-wersja-cosmo-navi-skora-ID6BA0Be.html#4b96ca4051,2.0 CDTI Bezwypadkowy wersja Cosmo Navi Skóra,"Radom, Mazowieckie"
https://www.otomoto.pl/oferta/audi-q5-s-line-2-0tdi-190-ps-4x4-bezwypadkowy-full-serwis-f-vat-ID6BA0Fa.html#4b96ca4051,* S line * 2.0TDi 190 PS * 4x4 * Bezwypadkowy * Full Serwis *F/VAT,"Stargardzka 16 - 73-110 Lipnik, stargardzki, Zachodniopomorskie (Polska)"
https://www.otomoto.pl/oferta/bmw-seria-6-bmw-645ci-v8-333km-smg-ac-schnitzer-logic7-navi-prof-oryginal-aso-ID6BzmNW.html#4b96ca4051,"BMW 645Ci V8 333KM SMG *AC SCHNITZER* Logic7, Navi Prof, Oryginał, ASO","Czarny Dwór 2 - 80-365 Gdańsk, Pomorskie (Polska)"
https://www.otomoto.pl/oferta/mercedes-benz-cla-cla200-shooting-brake-linia-amg-night-super-oferta-ID6Bs37M.html#4b96ca4051,"CLA200 Shooting Brake, Linia AMG/Night Super Oferta!!","Karpacka 90 - 43-316 Bielsko-Biała, Śląskie (Polska)"
